timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,ttt_ms
2026-03-24T20:25:43.845,frame,9.224,0.0,0.002832,0.001271,
2026-03-24T20:25:43.880,frame,28.448,29.07,0.002812,0.00137,
2026-03-24T20:25:43.912,frame,29.549,29.24,0.003036,0.001879,
2026-03-24T20:25:43.960,frame,40.12,28.38,0.002936,0.001621,
2026-03-24T20:25:43.975,frame,6.469,31.77,0.003107,0.001742,
2026-03-24T20:25:43.993,frame,6.265,34.64,0.003143,0.001567,
2026-03-24T20:25:44.040,frame,37.66,33.31,0.00328,0.001137,
2026-03-24T20:25:44.071,frame,18.116,33.22,0.003257,0.001648,
2026-03-24T20:25:44.120,frame,38.819,31.85,0.003748,0.001016,
2026-03-24T20:25:44.152,frame,16.944,31.88,0.003692,0.001694,
2026-03-24T20:25:44.198,frame,28.813,30.88,0.003796,0.002134,
2026-03-24T20:25:44.226,frame,10.84,31.38,0.003884,0.002459,
2026-03-24T20:25:44.238,frame,6.899,36.48,0.003838,0.002367,
2026-03-24T20:25:44.280,frame,32.942,35.23,0.004669,0.002901,
2026-03-24T20:25:44.311,frame,16.897,34.93,0.004768,0.002452,
2026-03-24T20:25:44.360,frame,40.861,33.45,0.004527,0.00217,
2026-03-24T20:25:44.376,frame,8.264,36.9,0.004331,0.002228,
2026-03-24T20:25:44.395,frame,6.489,38.4,0.004556,0.002329,
2026-03-24T20:25:44.439,frame,35.618,36.84,0.004528,0.002464,
2026-03-24T20:25:44.471,frame,17.754,36.25,0.00418,0.002632,
2026-03-24T20:25:44.520,frame,35.187,34.64,0.004352,0.002898,
2026-03-24T20:25:44.552,frame,15.275,34.45,0.003919,0.003226,
2026-03-24T20:25:44.599,frame,32.854,33.07,0.003852,0.003177,
2026-03-24T20:25:44.620,frame,6.403,34.52,0.003729,0.003232,
2026-03-24T20:25:44.643,frame,6.891,35.61,0.003039,0.001981,
2026-03-24T20:25:44.680,frame,28.679,34.76,0.000565,-0.000123,
2026-03-24T20:25:44.712,frame,29.922,34.34,-0.005356,-0.000346,
2026-03-24T20:25:44.763,frame,43.082,32.88,-0.009205,-0.001488,
2026-03-24T20:25:44.783,frame,8.797,34.51,-0.009642,0.000301,
2026-03-24T20:25:44.798,frame,8.188,38.04,-0.013074,-0.003283,
2026-03-24T20:25:44.843,frame,38.608,36.43,-0.016198,-0.004495,
2026-03-24T20:25:44.874,frame,22.174,36.1,-0.018245,-0.006922,
2026-03-24T20:25:44.927,frame,44.774,34.36,-0.019275,-0.00727,
2026-03-24T20:25:44.953,frame,9.736,34.8,-0.018674,-0.008926,
2026-03-24T20:25:45.002,frame,43.151,33.36,-0.018828,-0.009448,
2026-03-24T20:25:45.012,frame,6.71,39.64,-0.018759,-0.00906,
2026-03-24T20:25:45.031,frame,10.357,41.13,-0.017252,-0.010566,
2026-03-24T20:25:45.081,frame,43.99,39.02,-0.015902,-0.010626,
2026-03-24T20:25:45.113,frame,29.84,38.24,-0.014847,-0.011694,
2026-03-24T20:25:45.162,frame,27.94,36.42,-0.01317,-0.013869,
2026-03-24T20:25:45.171,frame,5.865,43.51,-0.013642,-0.013988,
2026-03-24T20:25:45.190,frame,9.21,44.55,-0.011706,-0.016085,
2026-03-24T20:25:45.242,frame,44.936,42.03,-0.008785,-0.019561,
2026-03-24T20:25:45.273,frame,28.668,41.03,-0.005391,-0.024471,
2026-03-24T20:25:45.323,frame,36.939,38.95,-0.003906,-0.031785,
2026-03-24T20:25:45.353,frame,17.076,38.34,-0.0012,-0.035455,
2026-03-24T20:25:45.403,frame,36.49,36.52,0.001116,-0.039075,
2026-03-24T20:25:45.424,frame,8.906,37.69,0.001869,-0.03815,
2026-03-24T20:25:45.435,frame,7.886,42.41,0.004457,-0.043759,
2026-03-24T20:25:45.481,frame,37.952,40.36,0.006052,-0.04596,
2026-03-24T20:25:45.513,frame,22.289,39.51,0.009859,-0.046793,
2026-03-24T20:25:45.560,frame,35.805,37.65,0.011762,-0.047051,
2026-03-24T20:25:45.579,frame,7.738,39.29,0.011074,-0.047244,
2026-03-24T20:25:45.594,frame,7.767,41.81,0.011934,-0.046848,
2026-03-24T20:25:45.643,frame,40.522,39.69,0.012209,-0.047003,
2026-03-24T20:25:45.673,frame,23.926,39.01,0.01226,-0.047432,
2026-03-24T20:25:45.722,frame,42.069,37.17,0.012451,-0.048141,
2026-03-24T20:25:45.753,frame,24.787,36.69,0.012665,-0.047793,
2026-03-24T20:25:45.800,frame,40.461,35.11,0.012431,-0.048047,
2026-03-24T20:25:45.812,frame,6.219,39.61,0.012525,-0.048129,
2026-03-24T20:25:45.832,frame,12.187,40.83,0.011742,-0.047715,
2026-03-24T20:25:45.881,frame,44.735,38.78,0.01156,-0.048058,
2026-03-24T20:25:45.914,frame,30.531,37.99,0.011845,-0.04812,
2026-03-24T20:25:45.962,frame,41.302,36.28,0.01205,-0.04856,
2026-03-24T20:25:45.973,frame,6.469,41.02,0.012123,-0.048543,
2026-03-24T20:25:45.994,frame,10.993,41.92,0.012097,-0.049047,
2026-03-24T20:25:46.042,frame,43.52,39.79,0.012215,-0.048928,
2026-03-24T20:25:46.072,frame,19.096,39.19,0.012025,-0.048843,
2026-03-24T20:25:46.121,frame,36.397,37.31,0.012629,-0.047489,
2026-03-24T20:25:46.151,frame,16.842,36.81,0.012968,-0.045636,
2026-03-24T20:25:46.202,frame,36.411,35.1,0.013293,-0.044772,
2026-03-24T20:25:46.218,frame,5.93,37.75,0.01321,-0.044611,
2026-03-24T20:25:46.226,frame,9.608,42.46,0.013098,-0.043272,
2026-03-24T20:25:46.282,frame,45.367,40.15,0.013126,-0.042727,
2026-03-24T20:25:46.312,frame,14.434,39.41,0.013535,-0.041452,
2026-03-24T20:25:46.363,frame,43.14,37.43,0.013682,-0.039269,
2026-03-24T20:25:46.373,frame,6.894,43.24,0.013745,-0.039103,
2026-03-24T20:25:46.392,frame,9.39,44.47,0.013612,-0.038559,
2026-03-24T20:25:46.444,frame,46.857,41.92,0.01264,-0.03742,
2026-03-24T20:25:46.470,frame,14.314,41.52,0.012334,-0.036364,
2026-03-24T20:25:46.520,frame,34.466,39.42,0.012826,-0.035823,
2026-03-24T20:25:46.549,frame,14.115,38.74,0.013127,-0.037465,
2026-03-24T20:25:46.604,frame,37.665,36.71,0.013434,-0.037332,
2026-03-24T20:25:46.621,frame,8.426,38.19,0.013473,-0.037377,
2026-03-24T20:25:46.643,frame,7.0,39.57,0.013557,-0.037842,
2026-03-24T20:25:46.680,frame,28.531,38.33,0.013725,-0.038097,
2026-03-24T20:25:46.714,frame,29.116,37.39,0.013021,-0.038186,
2026-03-24T20:25:46.759,frame,41.958,35.93,0.013825,-0.037528,
2026-03-24T20:25:46.773,frame,6.499,39.08,0.013748,-0.037523,
2026-03-24T20:25:46.790,frame,7.707,41.2,0.012687,-0.038377,
2026-03-24T20:25:46.839,frame,42.192,39.08,0.012,-0.037778,
2026-03-24T20:25:46.874,frame,20.962,38.15,0.011172,-0.035507,
2026-03-24T20:25:46.922,frame,38.619,36.39,0.009313,-0.03421,
2026-03-24T20:25:46.953,frame,17.18,35.94,0.006102,-0.033916,
2026-03-24T20:25:47.001,frame,32.148,34.46,0.001169,-0.034414,
2026-03-24T20:25:47.023,frame,7.417,35.61,0.00165,-0.033573,
2026-03-24T20:25:47.042,frame,8.044,37.1,-0.002695,-0.031832,
2026-03-24T20:25:47.080,frame,30.355,36.07,-0.0084,-0.032108,
2026-03-24T20:25:47.112,frame,15.743,35.51,-0.013337,-0.032245,
2026-03-24T20:25:47.160,frame,39.345,34.07,-0.016784,-0.028834,
2026-03-24T20:25:47.173,frame,7.602,38.28,-0.016098,-0.02877,
2026-03-24T20:25:47.191,frame,9.813,39.95,-0.019457,-0.027484,
2026-03-24T20:25:47.240,frame,43.652,38.0,-0.022318,-0.027146,
2026-03-24T20:25:47.272,frame,19.099,37.32,-0.024383,-0.026081,
2026-03-24T20:25:47.321,frame,35.807,35.66,-0.024501,-0.024235,
2026-03-24T20:25:47.353,frame,16.891,35.16,-0.026319,-0.02264,
2026-03-24T20:25:47.401,frame,34.211,33.72,-0.026237,-0.022186,
2026-03-24T20:25:47.421,frame,7.257,35.43,-0.026424,-0.022214,
2026-03-24T20:25:47.443,frame,7.657,36.57,-0.026773,-0.021159,
2026-03-24T20:25:47.479,frame,28.76,35.69,-0.026811,-0.020817,
2026-03-24T20:25:47.511,frame,25.642,35.18,-0.027113,-0.020212,
2026-03-24T20:25:47.559,frame,39.126,33.75,-0.028379,-0.019411,
2026-03-24T20:25:47.577,frame,6.719,35.99,-0.027715,-0.019253,
2026-03-24T20:25:47.595,frame,7.984,38.01,-0.028196,-0.017884,
2026-03-24T20:25:47.641,frame,38.446,36.37,-0.028443,-0.017595,
2026-03-24T20:25:47.675,frame,23.449,35.64,-0.027978,-0.017071,
2026-03-24T20:25:47.726,frame,40.14,34.05,-0.027942,-0.016083,
2026-03-24T20:25:47.754,frame,16.998,34.28,-0.027726,-0.015311,
2026-03-24T20:25:47.801,frame,30.996,32.94,-0.028045,-0.013842,
2026-03-24T20:25:47.825,frame,6.463,33.55,-0.027817,-0.014148,
2026-03-24T20:25:47.843,frame,6.79,36.32,-0.027794,-0.01331,
2026-03-24T20:25:47.882,frame,30.091,35.29,-0.027523,-0.013705,
2026-03-24T20:25:47.912,frame,24.439,35.13,-0.027499,-0.011644,
